Theta            Phi               dBi                 abs_theta              phase_theta      abs_phi                phase_phi         ax_ratio
 -45.000         -75.000            2.784e+00          -1.333e+01             121.159           2.676e+00             130.665           3.186e+01     
 -40.000         -75.000            3.436e+00          -1.184e+01             119.342           3.305e+00             127.153           3.274e+01     
 -35.000         -75.000            4.015e+00          -1.054e+01             116.695           3.860e+00             123.142           3.370e+01     
 -30.000         -75.000            4.519e+00          -9.419e+00             113.338           4.340e+00             118.649           3.479e+01     
 -25.000         -75.000            4.944e+00          -8.460e+00             109.371           4.741e+00             113.696           3.605e+01     
 -20.000         -75.000            5.290e+00          -7.657e+00             104.876           5.064e+00             108.308           3.763e+01     
 -15.000         -75.000            5.556e+00          -7.001e+00              99.932           5.308e+00             102.512           3.974e+01     
 -10.000         -75.000            5.743e+00          -6.488e+00              94.612           5.475e+00              96.344           4.000e+01     
  -5.000         -75.000            5.853e+00          -6.109e+00              88.989           5.568e+00              89.849           4.000e+01     
   0.000         -75.000            5.889e+00          -5.859e+00              83.140           5.589e+00              83.081           4.000e+01     
   5.000         -75.000            5.854e+00          -5.733e+00              77.143           5.542e+00              76.105           4.000e+01     
  10.000         -75.000            5.750e+00          -5.725e+00              71.078           5.430e+00              68.992           4.000e+01     
  15.000         -75.000            5.580e+00          -5.831e+00              65.026           5.254e+00              61.820           3.678e+01     
  20.000         -75.000            5.344e+00          -6.047e+00              59.067           5.016e+00              54.666           3.402e+01     
  25.000         -75.000            5.042e+00          -6.368e+00              53.276           4.717e+00              47.605           3.183e+01     
  30.000         -75.000            4.676e+00          -6.791e+00              47.725           4.354e+00              40.702           3.003e+01     
  35.000         -75.000            4.243e+00          -7.308e+00              42.482           3.928e+00              34.016           2.849e+01     
  40.000         -75.000            3.743e+00          -7.915e+00              37.607           3.436e+00              27.593           2.714e+01     
  45.000         -75.000            3.177e+00          -8.602e+00              33.157           2.878e+00              21.471           2.592e+01     
  50.000         -75.000            2.544e+00          -9.358e+00              29.187           2.254e+00              15.678           2.479e+01     
  55.000         -75.000            1.846e+00          -1.017e+01              25.744           1.564e+00              10.237           2.372e+01     
  60.000         -75.000            1.084e+00          -1.102e+01              22.870           8.079e-01               5.165           2.267e+01     
  65.000         -75.000            2.593e-01          -1.190e+01              20.599          -1.350e-02               0.474           2.164e+01     
  70.000         -75.000           -6.268e-01          -1.277e+01              18.943          -9.005e-01             356.174           2.058e+01     
  75.000         -75.000           -1.575e+00          -1.362e+01              17.895          -1.855e+00             352.273           1.951e+01     
  80.000         -75.000           -2.588e+00          -1.442e+01              17.411          -2.882e+00             348.771           1.839e+01     
  85.000         -75.000           -3.672e+00          -1.515e+01              17.411          -3.992e+00             345.662           1.722e+01     
  90.000         -75.000           -4.837e+00          -1.580e+01              17.780          -5.200e+00             342.922           1.597e+01     
  95.000         -75.000           -6.102e+00          -1.635e+01              18.379          -6.533e+00             340.494           1.462e+01     
 100.000         -75.000           -7.492e+00          -1.681e+01              19.065          -8.033e+00             338.265           1.314e+01     
 105.000         -75.000           -9.042e+00          -1.716e+01              19.714          -9.769e+00             336.000           1.146e+01     
 110.000         -75.000           -1.079e+01          -1.742e+01              20.239          -1.185e+01             333.201           9.478e+00     
 115.000         -75.000           -1.275e+01          -1.759e+01              20.608          -1.448e+01             328.664           7.093e+00     
